%time,field.speed
77734000000,11.90832973
77770000000,11.26583853
77858000000,10.75565882
77903000000,11.05614747
77941000000,10.7516814
77972000000,11.1516814
78062000000,10.40787894
78101000000,9.65938578
78130000000,9.871810914
78197000000,9.681810914
78253000000,9.106810914
78285000000,9.07242666
78363000000,8.708378916
78421000000,8.743378916
78495000000,8.703378916
78538000000,7.939992601
78565000000,7.907977966
78632000000,7.66795369
78690000000,7.88120794
78754000000,8.097307226
78792000000,8.272307226
78859000000,8.672307226
78889000000,8.102307226
78969000000,7.946178677
79010000000,8.290228448
79041000000,8.703992315
79076000000,8.577379346
79110000000,8.699334472
79143000000,8.902444646
79219000000,8.660052217
79308000000,8.625002516
79337000000,8.791543081
79422000000,9.052177495
79498000000,9.045834323
79529000000,9.003097851
79601000000,8.890931542
79637000000,8.784494739
79674000000,8.642131719
79761000000,8.748430346
79796000000,8.448875485
79858000000,8.533900556
79892000000,9.033900556
79971000000,9.427651152
80000000000,9.261491296
80031000000,9.561491296
80094000000,9.340907507
80164000000,9.733968622
80238000000,9.453151154
80276000000,9.753151154
80306000000,9.836331061
80392000000,9.534004601
80454000000,9.934004601
80492000000,10.0840046
80562000000,10.4840046
80593000000,10.7840046
80663000000,11.1840046
80731000000,10.7590046
80804000000,10.3840046
80842000000,10.5266291
80871000000,9.998633715
80911000000,10.39863371
80996000000,10.32429732
81061000000,10.72429732
81123000000,10.15732734
81153000000,9.557327335
81184000000,9.806568389
81255000000,9.556523768
81287000000,9.116523768
81363000000,8.266523768
81399000000,7.999116478
81459000000,8.345500035
81494000000,8.825500035
81556000000,9.225500035
81625000000,9.9728742
81705000000,9.935704668
81732000000,10.17233572
81795000000,9.903753691
81853000000,10.30375369
81893000000,9.920662607
81954000000,10.32066261
81990000000,10.49566261
82066000000,10.89566261
82095000000,11.19566261
82156000000,11.59566261
82193000000,11.6266089
82230000000,11.86863643
82287000000,11.44363643
82364000000,11.84363643
82392000000,12.09692737
82453000000,12.13932018
82506000000,12.28932018
82538000000,11.8251157
82574000000,11.3692851
82659000000,11.7692851
82697000000,11.80493281
82728000000,12.02993281
82793000000,11.55493281
82866000000,11.95493281
82897000000,12.25493281
82967000000,12.65493281
82998000000,12.77885526
83104000000,12.22885526
83136000000,12.52885526
83236000000,12.14973583
