%time,field
1548122187434273004,0.0
1548122187482465982,0.0
1548122187530342102,0.0
1548122187578269958,0.0
1548122187626373052,0.0
1548122187674355983,0.0
1548122187722223997,0.0
1548122187770392894,0.0
1548122187818763971,0.0
1548122187866352081,0.0
1548122187914386987,0.0
1548122187962515115,0.0
1548122188010390043,0.0
1548122188058465957,0.0
1548122188106175899,0.0
1548122188154315948,0.0
1548122188202208042,0.0
1548122188250307083,0.0
1548122188298259973,0.0
1548122188346416950,0.0
1548122188443430900,0.0
1548122188491056919,0.0
1548122188539371967,0.0
1548122188587290048,0.0
1548122188635417938,0.0
1548122188683320999,0.0
1548122188731380939,0.0
1548122188779285907,0.0
1548122188827506065,0.0
1548122188874691009,0.0
1548122188922426939,0.0
1548122188970412969,0.0
1548122189019134998,0.0
1548122189067362070,0.0
1548122189115283012,0.0
1548122189163343906,0.0
1548122189211381912,0.0
1548122189259716033,0.0
1548122189307382106,0.0
1548122189356307983,0.0
1548122189404371976,0.0
1548122189452400922,0.0
1548122189500365018,0.0
1548122189548341035,0.0
1548122189596379041,0.0
1548122189692473888,0.0
1548122189740391016,0.0
1548122189788480043,0.0
1548122189836360931,0.0
1548122189884455919,0.0
1548122189932148933,0.0
1548122189980426073,0.0
1548122190028458118,0.0
1548122190076236963,0.0
1548122190124188899,0.0
1548122190172447919,0.0
1548122190220326900,0.0
1548122190268469095,0.0
1548122190317159891,0.0
1548122190365391016,0.0
1548122190413292884,0.0
1548122190461374044,0.0
1548122190509186983,0.0
1548122190557368040,0.0
1548122190605300903,0.0
1548122190653373003,0.0
1548122190701214075,0.0
1548122190749336957,0.0
1548122190797250986,0.0
1548122190893441915,0.0
1548122190941307067,0.0
1548122190989445924,0.0
1548122191037175893,0.0
1548122191085387945,0.0
1548122191133405923,0.0
1548122191181056022,0.0
1548122191230084896,0.0
1548122191278501987,0.0
1548122191326383113,0.0
1548122191374433040,0.0
1548122191422331094,0.0
1548122191470449924,0.0
1548122191518678903,0.0
1548122191566473007,0.0
1548122191614259958,0.0
1548122191662432909,0.0
1548122191710380077,0.0
1548122191758414983,0.0
1548122191806199073,0.0
1548122191854823112,0.0
1548122191902350902,0.0
1548122191950416088,0.0
1548122191998471021,0.0
1548122192046308040,0.0
1548122192142544984,0.0
1548122192191540002,0.0
1548122192239170074,0.0
1548122192287291049,0.0
1548122192335434913,0.0
1548122192383429050,0.0
1548122192431283950,0.0
1548122192479129076,0.0
1548122192527497053,0.0
1548122192575485944,0.0
1548122192623291969,0.0
1548122192671385049,0.0
1548122192719377040,0.0
1548122192767308950,0.0
1548122192815325021,0.0
1548122192863378047,0.0
1548122192911251068,0.0
1548122192959880113,0.0
1548122193007358074,0.0
1548122193055392980,0.0
1548122193104226112,0.0
1548122193152308940,0.0
1548122193200292110,0.0
1548122193248105049,0.0
1548122193296287059,0.0
1548122193392503976,0.0
1548122193440305948,0.0
1548122193488425016,0.0
1548122193536360979,0.0
1548122193584388971,0.0
1548122193632083892,0.0
1548122193680686950,0.0
1548122193728312015,0.0
1548122193776460886,0.0
1548122193824280023,0.0
1548122193872503042,0.0
1548122193920389890,0.0
1548122193968375921,0.0
1548122194016220092,0.0
1548122194065373897,0.0
1548122194113219022,0.0
1548122194161375045,0.0
1548122194209273099,0.0
1548122194256660938,0.0
1548122194304905891,0.0
1548122194353357076,0.0
1548122194401216983,0.0
1548122194449352025,0.0
1548122194497267961,0.0
1548122194593413114,0.0
1548122194641052961,0.0
1548122194689001083,0.0
1548122194736388921,0.0
1548122194785434961,0.0
1548122194832307100,0.0
1548122194881133079,0.0
1548122194929505109,0.0
1548122194978476047,0.0
1548122195026423931,0.0
1548122195074518918,0.0
1548122195122421979,0.0
1548122195170438051,0.0
1548122195218477964,0.0
1548122195266416072,0.0
1548122195314495086,0.0
1548122195362538099,0.0
1548122195410310029,0.0
1548122195458374023,0.0
1548122195506283998,0.0
1548122195554397106,0.0
1548122195602431058,0.0
1548122195650531053,0.0
1548122195698462009,0.0
1548122195746474027,0.0
1548122195842567920,0.0
1548122195890250921,0.0
1548122195939446926,0.0
1548122195987355947,0.0
1548122196035502910,0.0
1548122196083461046,0.0
1548122196131256103,0.0
1548122196179231882,0.0
1548122196227310895,0.0
1548122196275114059,0.0
1548122196323173046,0.0
1548122196371407985,0.0
1548122196419454097,0.0
1548122196467428922,0.0
1548122196515291929,0.0
1548122196563400030,0.0
1548122196611450910,0.0
1548122196659194946,0.0
1548122196707417011,0.0
1548122196755275964,0.0
1548122196803442001,0.0
1548122196852395057,0.0
1548122196900333881,0.0
1548122196948299884,0.0
1548122196996452093,0.0
1548122197092436075,0.0
1548122197140178918,0.0
1548122197188404083,0.0
1548122197236124038,0.0
1548122197283735036,0.0
1548122197332395076,0.0
1548122197380348920,0.0
1548122197428282022,0.0
1548122197476466894,0.0
1548122197524315118,0.0
1548122197572329044,0.0
1548122197620317935,0.0
1548122197668433904,0.0
1548122197716172933,0.0
1548122197764426946,0.0
1548122197813244104,0.0
1548122197861537933,0.0
1548122197909574031,0.0
1548122197957401037,0.0
1548122198005352020,0.0
1548122198053350925,0.0
1548122198101125955,0.0
1548122198149379014,0.0
1548122198197279930,0.0
1548122198293555021,0.0
1548122198341432094,0.0
1548122198389290094,0.0
1548122198437410116,0.0
1548122198485270977,0.0
1548122198533256053,0.0
1548122198581562042,0.0
1548122198629544973,0.0
1548122198677442073,0.0
1548122198726480960,0.0
1548122198774584054,0.0
1548122198822457075,0.0
1548122198870373010,0.0
1548122198918283939,0.0
1548122198966470956,0.0
1548122199014475107,0.0
1548122199062413930,0.0
1548122199110409021,0.0
1548122199158514022,0.0
1548122199206233978,0.0
1548122199254406929,0.0
1548122199302547931,0.0
1548122199350342035,0.0
1548122199398488998,0.0
1548122199446413993,0.0
1548122199542617082,0.0
1548122199590373039,0.0
1548122199639317035,0.0
1548122199687393903,0.0
1548122199735505104,0.0
1548122199783457994,0.0
1548122199831330060,0.0
1548122199879383087,0.0
1548122199927447080,0.0
1548122199975197076,0.0
1548122200023467063,0.0
1548122200071204900,0.0
1548122200119564056,0.0
1548122200167371034,0.0
1548122200215447902,0.0
1548122200263201951,0.0
1548122200311379909,0.0
1548122200359214067,0.0
1548122200407493114,0.0
1548122200455385923,0.0
1548122200503446102,0.0
1548122200551337003,0.0
1548122200600374937,0.0
1548122200648370027,0.0
1548122200696448087,0.0
1548122200792381048,0.0
1548122200840468883,0.0
1548122200888474941,0.0
1548122200936377048,0.0
1548122200984463930,0.0
1548122201032210111,0.0
1548122201080478906,0.0
1548122201128510951,0.0
1548122201176395893,0.0
1548122201224404096,0.0
1548122201272473096,0.0
1548122201320390939,0.0
1548122201368459939,0.0
1548122201416070938,0.0
1548122201464503049,0.0
1548122201512464046,0.0
1548122201561254978,0.0
1548122201609514951,0.0
1548122201657438039,0.0
1548122201705452919,0.0
1548122201753376007,0.0
1548122201801088094,0.0
1548122201849370956,0.0
1548122201897236108,0.0
1548122201993526935,0.0
1548122202041393995,0.0
1548122202089394092,0.0
1548122202137274026,0.0
1548122202185158967,0.0
1548122202233516931,0.0
1548122202281392097,0.0
1548122202329400062,0.0
1548122202377511024,0.0
1548122202425218105,0.0
1548122202474082946,0.0
1548122202522305011,0.0
1548122202570437908,0.0
1548122202618453979,0.0
1548122202666420936,0.0
1548122202714559078,0.0
1548122202762274980,0.0
1548122202810406923,0.0
1548122202858522891,0.0
1548122202906092882,0.0
1548122202954390048,0.0
1548122203002324104,0.0
1548122203050358057,0.0
1548122203098321914,0.0
1548122203146310091,0.0
1548122203242307901,0.0
1548122203290232896,0.0
1548122203338604927,0.0
1548122203386342048,0.0
1548122203435508966,0.0
1548122203483258962,0.0
1548122203531213045,0.0
1548122203579404115,0.0
1548122203627409934,0.0
1548122203675447940,0.0
1548122203723535060,0.0
1548122203771239042,0.0
1548122203819356918,0.0
1548122203867336034,0.0
1548122203915450096,0.0
1548122203963423013,0.0
1548122204011441946,0.0
1548122204059315919,0.0
1548122204107310056,0.0
1548122204155410051,0.0
1548122204203403949,0.0
1548122204251156091,0.0
1548122204299447059,0.0
1548122204348289966,0.0
1548122204444485902,0.0
1548122204492372035,0.0
1548122204540401935,0.0
1548122204588440895,0.0
1548122204636413097,0.0
1548122204684452056,0.0
1548122204732506990,0.0
1548122204780443906,0.0
1548122204828528881,0.0
1548122204876305103,0.0
1548122204924508094,0.0
1548122204972408056,0.0
1548122205020447015,0.0
1548122205068389892,0.0
