%time,field
1548122077780726909,0.0
1548122077829792022,0.0
1548122077877801895,0.0
1548122077925750017,0.0
1548122077973367929,0.0
1548122078021600961,0.0
1548122078069710016,0.0
1548122078117706060,0.0
1548122078165433883,0.0
1548122078213640928,0.0
1548122078261703968,0.0
1548122078309757947,0.0
1548122078357695102,0.0
1548122078405565977,0.0
1548122078453797101,0.0
1548122078501580953,0.0
1548122078549757957,0.0
1548122078597754001,0.0
1548122078645667076,0.0
1548122078742831945,0.0
1548122078790458917,0.0
1548122078838710069,0.0
1548122078886576890,0.0
1548122078934624910,0.0
1548122078982692956,0.0
1548122079030539989,0.0
1548122079078583002,0.0
1548122079126704931,0.0
1548122079174963951,0.0
1548122079222640991,0.0
1548122079270741939,0.0
1548122079318527936,0.0
1548122079366652011,0.0
1548122079414788961,0.0
1548122079462557077,0.0
1548122079510708093,0.0
1548122079559382915,0.0
1548122079606551885,0.0
1548122079654567003,0.0
1548122079703648090,0.0
1548122079751754045,0.0
1548122079799786090,0.0
1548122079847538948,0.0
1548122079943830013,0.0
1548122079991689920,0.0
1548122080039788961,0.0
1548122080087788105,0.0
1548122080135762929,0.0
1548122080183736085,0.0
1548122080231762886,0.0
1548122080280020952,0.0
1548122080327585935,0.0
1548122080375808000,0.0
1548122080423588991,0.0
1548122080471707105,0.0
1548122080519785881,0.0
1548122080567456007,0.0
1548122080616672992,0.0
1548122080665143013,0.0
1548122080712690114,0.0
1548122080760768890,0.0
1548122080808748006,0.0
1548122080856702089,0.0
1548122080904630899,0.0
1548122080952316999,0.0
1548122080999969005,0.0
1548122081047727108,0.0
1548122081095680952,0.0
1548122081192111968,0.0
1548122081240370988,0.0
1548122081288173913,0.0
1548122081336659908,0.0
1548122081384641885,0.0
1548122081432400941,0.0
1548122081480818033,0.0
1548122081528718948,0.0
1548122081577879905,0.0
1548122081625843048,0.0
1548122081673768997,0.0
1548122081721771955,0.0
1548122081769787073,0.0
1548122081817701101,0.0
1548122081865859985,0.0
1548122081913866043,0.0
1548122081961857080,0.0
1548122082009629011,0.0
1548122082057786941,0.0
1548122082105598926,0.0
1548122082153778076,0.0
1548122082201720952,0.0
1548122082249588966,0.0
1548122082297836065,0.0
1548122082345808029,0.0
1548122082441895008,0.0
1548122082490513086,0.0
1548122082538857936,0.0
1548122082586683988,0.0
1548122082634769916,0.0
1548122082682676076,0.0
1548122082730571985,0.0
1548122082778588056,0.0
1548122082826765060,0.0
1548122082874478101,0.0
1548122082922789096,0.0
1548122082970557928,0.0
1548122083018779039,0.0
1548122083066713094,0.0
1548122083114789009,0.0
1548122083162535905,0.0
1548122083210563898,0.0
1548122083258668899,0.0
1548122083306704998,0.0
1548122083354532003,0.0
1548122083402728080,0.0
1548122083451694011,0.0
1548122083499697923,0.0
1548122083547797918,0.0
1548122083643786907,0.0
1548122083691766977,0.0
1548122083739824056,0.0
1548122083787708997,0.0
1548122083835633993,0.0
1548122083883745908,0.0
1548122083931824922,0.0
1548122083979449033,0.0
1548122084027551889,0.0
1548122084075687885,0.0
1548122084123832941,0.0
1548122084171720981,0.0
1548122084219670057,0.0
1548122084267574071,0.0
1548122084315726995,0.0
1548122084364279031,0.0
1548122084412688016,0.0
1548122084460689067,0.0
1548122084508826017,0.0
1548122084556549072,0.0
1548122084604700088,0.0
1548122084652690887,0.0
1548122084700717926,0.0
1548122084748765945,0.0
1548122084796834945,0.0
1548122084892818927,0.0
1548122084940749883,0.0
1548122084988807916,0.0
1548122085036521911,0.0
1548122085084322929,0.0
1548122085132524967,0.0
1548122085180556058,0.0
1548122085228632926,0.0
1548122085276591062,0.0
1548122085325673103,0.0
1548122085373780012,0.0
1548122085421762943,0.0
1548122085469615936,0.0
1548122085517672061,0.0
1548122085565853118,0.0
1548122085613846063,0.0
1548122085661864042,0.0
1548122085709755897,0.0
1548122085757621049,0.0
1548122085805531024,0.0
1548122085853766918,0.0
1548122085901756048,0.00999999977648
1548122085949748992,0.0
1548122085997714042,0.0
1548122086045720100,0.0
1548122086141848087,0.0
1548122086189415931,0.0
1548122086238754034,0.0
1548122086286858081,0.0
1548122086334736108,0.0
1548122086382719993,0.0
1548122086430599927,0.0
1548122086478586912,0.0
1548122086526735067,0.0
1548122086574445962,0.0
1548122086622607946,0.0
1548122086670689105,0.0
1548122086718866109,0.0
1548122086766757965,0.0
1548122086814373970,0.0
