Times(ns),Sinusoidal speed
25400000000,8.875330871
25500000000,9.010059513
25600000000,9.141443955
25700000000,9.269338227
25800000000,9.393600237
25900000000,9.514091929
26000000000,9.630679436
26100000000,9.743233228
26200000000,9.851628257
26300000000,9.955744096
26400000000,10.05546507
26500000000,10.15068039
26600000000,10.24128427
26700000000,10.32717605
26800000000,10.4082603
26900000000,10.48444693
27000000000,10.55565131
27100000000,10.62179432
27200000000,10.68280248
27300000000,10.73860801
27400000000,10.78914891
27500000000,10.83436902
27600000000,10.87421811
27700000000,10.9086519
27800000000,10.93763214
27900000000,10.96112663
28000000000,10.97910926
28100000000,10.99156007
28200000000,10.99846521
28300000000,10.99981702
28400000000,10.99561398
28500000000,10.98586078
28600000000,10.97056825
28700000000,10.94975337
28800000000,10.92343928
28900000000,10.8916552
29000000000,10.85443646
29100000000,10.8118244
29200000000,10.76386636
29300000000,10.71061563
29400000000,10.65213136
29500000000,10.58847854
29600000000,10.51972788
29700000000,10.44595576
29800000000,10.36724415
29900000000,10.2836805
30000000000,10.19535765
30100000000,10.10237371
30200000000,10.00483201
30300000000,9.902840901
30400000000,9.796513706
30500000000,9.685968554
30600000000,9.57132826
30700000000,9.452720191
30800000000,9.330276122
30900000000,9.204132088
31000000000,9.074428237
31100000000,8.941308671
31200000000,8.804921287
31300000000,8.665417612
31400000000,8.522952637
31500000000,8.37768464
31600000000,8.229775016
31700000000,8.079388094
31800000000,7.926690954
31900000000,7.771853245
32000000000,7.615046992
32100000000,7.456446409
32200000000,7.296227701
32300000000,7.134568875
32400000000,6.971649532
32500000000,6.807650679
32600000000,6.64275452
32700000000,6.477144255
32800000000,6.311003879
32900000000,6.144517975
33000000000,5.97787151
33100000000,5.81124963
33200000000,5.644837454
33300000000,5.478819866
33400000000,5.313381313
33500000000,5.148705599
33600000000,4.984975681
33700000000,4.822373463
33800000000,4.661079597
33900000000,4.501273284
34000000000,4.343132068
34100000000,4.186831645
34200000000,4.032545668
34300000000,3.880445549
34400000000,3.730700272
34500000000,3.583476206
34600000000,3.438936918
34700000000,3.297242992
34800000000,3.158551851
34900000000,3.023017583
35000000000,2.890790766
35100000000,2.762018307
35200000000,2.636843272
35300000000,2.515404731
35400000000,2.397837605
35500000000,2.284272511
35600000000,2.174835621
35700000000,2.069648519
35800000000,1.968828071
35900000000,1.872486288
36000000000,1.780730206
36100000000,1.693661768
36200000000,1.611377708
36300000000,1.533969442
36400000000,1.461522974
36500000000,1.394118791
36600000000,1.33183178
36700000000,1.274731142
36800000000,1.222880317
36900000000,1.176336911
37000000000,1.135152634
37100000000,1.099373243
37200000000,1.069038489
37300000000,1.044182073
37400000000,1.024831612
37500000000,1.011008604
37600000000,1.002728407
37700000000,1.000000219
37800000000,1.002827072
37900000000,1.011205826
38000000000,1.025127171
38100000000,1.044575641
38200000000,1.069529628
38300000000,1.099961408
38400000000,1.135837172
38500000000,1.17711706
38600000000,1.223755211
38700000000,1.275699809
38800000000,1.332893144
38900000000,1.395271673
39000000000,1.462766093
39100000000,1.535301417
39200000000,1.612797058
39300000000,1.695166918
39400000000,1.782319482
39500000000,1.874157925
39600000000,1.970580212
39700000000,2.071479217
39800000000,2.176742842
39900000000,2.286254136
40000000000,2.399891433
40100000000,2.517528481
40200000000,2.639034582
40300000000,2.764274744
40400000000,2.893109824
40500000000,3.025396683
40600000000,3.160988352
40700000000,3.299734186
40800000000,3.441480038
40900000000,3.586068426
41000000000,3.733338712
41100000000,3.883127278
41200000000,4.035267706
41300000000,4.189590969
41400000000,4.34592561
41500000000,4.504097942
41600000000,4.663932234
41700000000,4.825250907
41800000000,4.987874737
41900000000,5.151623046
42000000000,5.316313909
42100000000,5.481764353
42200000000,5.647790561
42300000000,5.814208076
42400000000,5.980832008
42500000000,6.147477235
42600000000,6.313958615
42700000000,6.480091183
42800000000,6.645690367
42900000000,6.810572182
43000000000,6.974553446
43100000000,7.137451973
43200000000,7.299086781
43300000000,7.459278293
43400000000,7.617848535
43500000000,7.774621334
43600000000,7.929422514
43700000000,8.08208009
43800000000,8.232424457
43900000000,8.380288583
44000000000,8.525508188
44100000000,8.667921933
44200000000,8.807371595
44300000000,8.943702243
44400000000,9.076762415
44500000000,9.206404278
44600000000,9.332483799
44700000000,9.454860904
44800000000,9.573399629
44900000000,9.687968278
45000000000,9.798439564
45100000000,9.904690753
45200000000,10.0066038
45300000000,10.10406547
45400000000,10.1969675
45500000000,10.28520666
45600000000,10.36868492
45700000000,10.44730953
45800000000,10.52099315
45900000000,10.5896539
46000000000,10.65321551
46100000000,10.71160737
46200000000,10.76476458
46300000000,10.81262811
46400000000,10.85514476
46500000000,10.89226731
46600000000,10.92395451
46700000000,10.95017116
46800000000,10.97088813
46900000000,10.98608239
47000000000,10.99573708
47100000000,10.99984147
47200000000,10.99839099
47300000000,10.99138725
47400000000,10.97883804
47500000000,10.96075731
47600000000,10.93716513
47700000000,10.90808772
47800000000,10.87355738
47900000000,10.83361248
48000000000,10.7882974
48100000000,10.73766248
48200000000,10.68176398
48300000000,10.620664
48400000000,10.55443042
48500000000,10.48313684
48600000000,10.40686245
48700000000,10.325692
48800000000,10.23971568
48900000000,10.14902899
49000000000,10.0537327
49100000000,9.953932677
49200000000,9.849739803
49300000000,9.741269836
49400000000,9.628643288
49500000000,9.511985288
49600000000,9.391425442
49700000000,9.267097695
49800000000,9.139140176
49900000000,9.007695046
50000000000,8.872908343
50100000000,8.734929814
50200000000,8.593912756
50300000000,8.450013839
50400000000,8.303392937
50500000000,8.154212946
50600000000,8.002639607
50700000000,7.848841319
50800000000,7.692988953
50900000000,7.535255663
51000000000,7.37581669
51100000000,7.214849174
51200000000,7.052531951
51300000000,6.889045356
51400000000,6.724571024
51500000000,6.559291688
51600000000,6.393390974
51700000000,6.227053199
51800000000,6.060463167
51900000000,5.893805959
52000000000,5.727266734
52100000000,5.561030518
52200000000,5.395282
52300000000,5.23020533
52400000000,5.065983907
52500000000,4.902800184
52600000000,4.740835459
52700000000,4.580269676
52800000000,4.421281225
52900000000,4.264046744
53000000000,4.108740921
53100000000,3.955536303
53200000000,3.804603101
53300000000,3.656109002
53400000000,3.510218986
53500000000,3.367095137
53600000000,3.226896467
53700000000,3.089778738
53800000000,2.955894289
53900000000,2.825391866
54000000000,2.698416459
54100000000,2.575109138
54200000000,2.4556069
54300000000,2.340042511
54400000000,2.228544365
54500000000,2.121236338
54600000000,2.018237649
54700000000,1.91966273
54800000000,1.8256211
54900000000,1.736217239
55000000000,1.651550476
55100000000,1.571714877
55200000000,1.496799138
55300000000,1.426886493
55400000000,1.362054614
55500000000,1.302375531
55600000000,1.247915548
55700000000,1.198735169
55800000000,1.154889035
55900000000,1.11642586
56000000000,1.083388375
56100000000,1.055813287
56200000000,1.03373123
56300000000,1.017166739
56400000000,1.006138217
56500000000,1.000657916
56600000000,1.000731926
56700000000,1.006360164
56800000000,1.017536376
56900000000,1.034248147
57000000000,1.056476909
57100000000,1.084197966
57200000000,1.117380519
57300000000,1.155987703
57400000000,1.199976624
57500000000,1.249298411
57600000000,1.303898267
57700000000,1.36371553
57800000000,1.428683743
57900000000,1.498730726
58000000000,1.573778657
58100000000,1.653744156
58200000000,1.738538381
58300000000,1.828067125
58400000000,1.92223092
58500000000,2.020925151
58600000000,2.124040167
58700000000,2.231461405
58800000000,2.343069522
58900000000,2.458740518
59000000000,2.578345883
59100000000,2.701752733
59200000000,2.828823964
59300000000,2.959418397
59400000000,3.093390941
59500000000,3.230592752
59600000000,3.370871397
59700000000,3.514071026
59800000000,3.660032542
59900000000,3.808593781
60000000000,3.959589691
